dataset_name,score
data/mmlu_parquet/abstract_algebra,42.0
data/mmlu_parquet/anatomy,75.55555555555556
data/mmlu_parquet/astronomy,84.86842105263158
data/mmlu_parquet/business_ethics,70.0
data/mmlu_parquet/clinical_knowledge,81.13207547169812
data/mmlu_parquet/college_biology,91.66666666666669
data/mmlu_parquet/college_chemistry,50.0
data/mmlu_parquet/college_computer_science,67.0
data/mmlu_parquet/college_mathematics,40.0
data/mmlu_parquet/college_medicine,76.30057803468208
data/mmlu_parquet/college_physics,54.90196078431372
data/mmlu_parquet/computer_security,76.0
data/mmlu_parquet/conceptual_physics,75.74468085106383
data/mmlu_parquet/econometrics,58.77192982456141
data/mmlu_parquet/electrical_engineering,69.65517241379311
data/mmlu_parquet/elementary_mathematics,59.25925925925926
data/mmlu_parquet/formal_logic,54.76190476190476
data/mmlu_parquet/global_facts,46.0
data/mmlu_parquet/high_school_biology,92.90322580645162
data/mmlu_parquet/high_school_chemistry,70.44334975369458
data/mmlu_parquet/high_school_computer_science,79.0
data/mmlu_parquet/high_school_european_history,83.03030303030303
data/mmlu_parquet/high_school_geography,88.38383838383838
data/mmlu_parquet/high_school_government_and_politics,96.89119170984456
data/mmlu_parquet/high_school_macroeconomics,80.25641025641026
data/mmlu_parquet/high_school_mathematics,43.7037037037037
data/mmlu_parquet/high_school_microeconomics,87.39495798319328
data/mmlu_parquet/high_school_physics,57.615894039735096
data/mmlu_parquet/high_school_psychology,93.94495412844036
data/mmlu_parquet/high_school_statistics,67.12962962962963
