dataset_name,score
data/mmlu_parquet/abstract_algebra,33.0
data/mmlu_parquet/anatomy,55.55555555555556
data/mmlu_parquet/astronomy,50.0
data/mmlu_parquet/business_ethics,59.0
data/mmlu_parquet/clinical_knowledge,53.58490566037736
data/mmlu_parquet/college_biology,60.41666666666666
data/mmlu_parquet/college_chemistry,40.0
data/mmlu_parquet/college_computer_science,47.0
data/mmlu_parquet/college_mathematics,31.0
data/mmlu_parquet/college_medicine,54.335260115606935
data/mmlu_parquet/college_physics,30.392156862745097
data/mmlu_parquet/computer_security,68.0
data/mmlu_parquet/conceptual_physics,45.53191489361702
data/mmlu_parquet/econometrics,37.719298245614034
data/mmlu_parquet/electrical_engineering,53.10344827586207
data/mmlu_parquet/elementary_mathematics,41.00529100529101
data/mmlu_parquet/formal_logic,35.714285714285715
data/mmlu_parquet/global_facts,30.0
data/mmlu_parquet/high_school_biology,53.87096774193548
data/mmlu_parquet/high_school_chemistry,46.30541871921182
data/mmlu_parquet/high_school_computer_science,54.0
data/mmlu_parquet/high_school_european_history,63.63636363636363
data/mmlu_parquet/high_school_geography,61.11111111111112
data/mmlu_parquet/high_school_government_and_politics,54.40414507772021
data/mmlu_parquet/high_school_macroeconomics,53.07692307692308
data/mmlu_parquet/high_school_mathematics,34.81481481481482
data/mmlu_parquet/high_school_microeconomics,53.36134453781513
data/mmlu_parquet/high_school_physics,33.11258278145695
data/mmlu_parquet/high_school_psychology,73.57798165137615
data/mmlu_parquet/high_school_statistics,33.7962962962963
data/mmlu_parquet/high_school_us_history,64.2156862745098
data/mmlu_parquet/high_school_world_history,64.9789029535865
data/mmlu_parquet/human_aging,58.29596412556054
data/mmlu_parquet/human_sexuality,43.51145038167939
data/mmlu_parquet/international_law,50.413223140495866
data/mmlu_parquet/jurisprudence,54.629629629629626
data/mmlu_parquet/logical_fallacies,47.85276073619632
data/mmlu_parquet/machine_learning,31.25
data/mmlu_parquet/management,61.16504854368932
data/mmlu_parquet/marketing,71.36752136752136
data/mmlu_parquet/medical_genetics,61.0
data/mmlu_parquet/miscellaneous,71.51979565772669
data/mmlu_parquet/moral_disputes,47.6878612716763
data/mmlu_parquet/moral_scenarios,36.87150837988827
data/mmlu_parquet/nutrition,55.22875816993464
data/mmlu_parquet/philosophy,58.842443729903536
data/mmlu_parquet/prehistory,58.333333333333336
data/mmlu_parquet/professional_accounting,35.815602836879435
data/mmlu_parquet/professional_law,34.289439374185136
data/mmlu_parquet/professional_medicine,67.27941176470588
data/mmlu_parquet/professional_psychology,48.20261437908497
data/mmlu_parquet/public_relations,64.54545454545455
data/mmlu_parquet/security_studies,47.755102040816325
data/mmlu_parquet/sociology,62.18905472636816
data/mmlu_parquet/us_foreign_policy,73.0
data/mmlu_parquet/virology,44.57831325301205
data/mmlu_parquet/world_religions,73.09941520467837
